Lista: TREINO LUQUINHAS
Canal: ⚔ATAQUE⚔
Responsável: 🍭 Skito | Etheriya - (srmuskito)

1. TelnerGeox (telnergeox) - Microfone mutado, Audio desmutado
74. 🍭 Tarly | Aelflaed (.tarly) - Microfone mutado, Audio desmutado
75. 🍭 Tarshizu | Tarcisio (tarcisio2758) - Microfone mutado, Audio desmutado
76. 🍭 Tulatias | RebertaDragonic (tulatias) - Microfone mutado, Audio desmutado
77. 🍭 Uveda | Yunnar (uveda) - Microfone mutado, Audio desmutado
78. 🍭 Valkrieg | FenixGda (fenixgda) - Microfone mutado, Audio desmutado
79. 🍭 VectraGLS97 | Taeks (taeks) - Microfone mutado, Audio desmutado
80. 🍭 WITCH | IW_WI (ruivo3222) - Microfone mutado, Audio desmutado
81. 🍭 XIZO | Pardinho (xizopardinho) - Microfone mutado, Audio desmutado
82. 🍭 Yamikaze | Sixwvys (_martiniyuri) - Microfone mutado, Audio desmutado
83. 🍭 Zip_Sap | Zip_Sap (zip.zap) - Microfone desmutado, Audio desmutado
84. 👑 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
