Lista: gvg 06-02
Canal: ⚔ATAQUE⚔
Responsável: 🍭 Mana_Campbell | Kyzuna_Sayama - (neah.campbell)

73. 🍭 PSDB | Michel_Temer13 (mtl152) - Microfone mutado, Audio desmutado
74. 🍭 PalioWEEKEND98 | Shirayanagi (dkrk9) - Microfone mutado, Audio desmutado
75. 🍭 Qwertluk | Qwertluk (qwertluk) - Microfone mutado, Audio desmutado
76. 🍭 Rabbit | RabbitDOSA (rrabbit_) - Microfone mutado, Audio desmutado
77. 🍭 RadiX | RadiX (.radixx.) - Microfone desmutado, Audio desmutado
78. 🍭 Ratored | Ratored (ratored) - Microfone mutado, Audio desmutado
79. 🍭 Rodi | Aryinn (smkz01) - Microfone mutado, Audio desmutado
80. 🍭 Sagrath | Sagrath (_sagrath) - Microfone mutado, Audio desmutado
81. 🍭 Santox | AnjoYdaYvida (anjoydayvida) - Microfone mutado, Audio desmutado
82. 🍭 SaveiroSUMMER96 | MuichiroTo… (inlove_html) - Microfone mutado, Audio desmutado
83. 🍭 Scribblenauts | YUwUY (scribblenauts) - Microfone mutado, Audio desmutado
84. 🍭 Shai | Artini (kapi.tan) - Microfone mutado, Audio desmutado
85. 🍭 Sheeshium | PANZER_IV (wally02) - Microfone mutado, Audio desmutado
86. 🍭 Skito | Etheriya (srmuskito) - Microfone desmutado, Audio desmutado
87. 🍭 Soaria | Soaria (sams_z) - Microfone desmutado, Audio desmutado
88. 🍭 Stazz | Stazz (.guilhermebuzatto) - Microfone mutado, Audio desmutado
89. 🍭 Tarly | Aelflaed (.tarly) - Microfone mutado, Audio desmutado
90. 🍭 Tarshizu | Tarcisio (tarcisio2758) - Microfone mutado, Audio desmutado
91. 🍭 Tolern | Dosas (augustoflorise) - Microfone mutado, Audio desmutado
92. 🍭 Toushiro | Liliane (lilly_x) - Microfone mutado, Audio desmutado
93. 🍭 Tulatias | RebertaDragonic (tulatias) - Microfone mutado, Audio desmutado
94. 🍭 Uveda | Yunnar (uveda) - Microfone mutado, Audio desmutado
95. 🍭 VELT | Duckx (velt3441) - Microfone mutado, Audio desmutado
96. 🍭 Valkrieg | FenixGda (fenixgda) - Microfone mutado, Audio desmutado
97. 🍭 VectraGLS97 | Taeks (taeks) - Microfone mutado, Audio desmutado
98. 🍭 Vestrit | Felisity (vestrit) - Microfone mutado, Audio desmutado
99. 🍭 VirSaOo | FireAshe (vilson5285) - Microfone mutado, Audio desmutado
100. 🍭 Volkras | RoyaI (volkras) - Microfone mutado, Audio desmutado
101. 🍭 VoyageSPORT94 | McLahnNovame… (guirabisca) - Microfone mutado, Audio desmutado
102. 🍭 WITCH | IW_WI (ruivo3222) - Microfone mutado, Audio desmutado
103. 🍭 XIZO | Pardinho (xizopardinho) - Microfone mutado, Audio desmutado
104. 🍭 kenjutsu | PartyNextD00r (21281) - Microfone mutado, Audio desmutado
105. 👑 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
106. 👼 Meriove (meriove) - Microfone desmutado, Audio desmutado
107. 👼 Vnbz | Bunnit (seaside2) - Microfone desmutado, Audio desmutado
