Lista: GvG 21/01
Canal: 🏹 | Gank
Responsável: 🧑🎄 LagSwitch | Manifest - (marsecolor)

1. Heaven (in_heaven) - Microfone desmutado, Audio desmutado
2. 🍬 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
3. 🍭 AdrianoJesus | Morte (mito2018) - Microfone mutado, Audio desmutado
4. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone mutado, Audio desmutado
5. 🍭 Asuna | Arysh (arysh) - Microfone mutado, Audio desmutado
6. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone desmutado, Audio desmutado
7. 🍭 Bagz | Baguz (gustavo_bagz) - Microfone desmutado, Audio desmutado
8. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
9. 🍭 Batkillua | Batkillua (batkillua) - Microfone desmutado, Audio desmutado
10. 🍭 Blasther | IThankerI (e.tanker) - Microfone mutado, Audio desmutado
11. 🍭 ChrimSoNs | DrakaniaHealeR (chrimsonschrim) - Microfone mutado, Audio desmutado
12. 🍭 Clown | Clown (clown1236) - Microfone mutado, Audio desmutado
13. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
14. 🍭 DeusTorresmo | BaconDefumado (otodogorduroso) - Microfone mutado, Audio desmutado
15. 🍭 Diva | Painted (diivinha) - Microfone mutado, Audio desmutado
16. 🍭 Eternalzerker | Radf (radf) - Microfone mutado, Audio desmutado
17. 🍭 Ferpo77 | Ferpo77 (ferpo77) - Microfone mutado, Audio desmutado
18. 🍭 FortyFive | Fortynha (fortyfive.) - Microfone mutado, Audio desmutado
19. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
20. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
21. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
22. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
23. 🍭 Hardest10 | Alice10 (_crocksor) - Microfone mutado, Audio mutado
24. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
25. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
26. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
27. 🍭 Killzone | Monkeyflip (kekww0946) - Microfone mutado, Audio desmutado
28. 🍭 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
29. 🍭 Kyuuuh | Kyrsar (kyuuuh.) - Microfone mutado, Audio desmutado
30. 🍭 Luffy | Davi (d.a.v.i.) - Microfone desmutado, Audio desmutado
31. 🍭 Magyo | Magyogyogyo (magyo) - Microfone mutado, Audio desmutado
32. 🍭 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
33. 🍭 MichelKings | MiichellKings (michel5356) - Microfone desmutado, Audio desmutado
34. 🍭 MormaS | MormaS (eomormas) - Microfone mutado, Audio desmutado
35. 🍭 Newwz | Duzikk (feliipee.) - Microfone mutado, Audio desmutado
36. 🍭 NullPointter | MACACOPOINTTER (nullpointter) - Microfone mutado, Audio desmutado
37. 🍭 OPeres | ProjectPCD (mperes) - Microfone mutado, Audio desmutado
38. 🍭 Rabbit | RabbitDOSA (rrabbit_) - Microfone mutado, Audio desmutado
39. 🍭 Sagrath | Sagrath (_sagrath) - Microfone mutado, Audio desmutado
40. 🍭 Santox | AnjoYdaYvida (anjoydayvida) - Microfone mutado, Audio desmutado
41. 🍭 Scribblenauts | YUwUY (scribblenauts) - Microfone desmutado, Audio desmutado
42. 🍭 Shai | Artini (kapi.tan) - Microfone mutado, Audio desmutado
43. 🍭 Sipher | Siphern (.sipher) - Microfone mutado, Audio desmutado
44. 🍭 Tarshizu | Tarcisio (tarcisio2758) - Microfone mutado, Audio desmutado
45. 🍭 Uveda | Yunnar (uveda) - Microfone mutado, Audio desmutado
46. 🍭 Valkrieg | FenixGda (fenixgda) - Microfone mutado, Audio desmutado
47. 🍭 VirSaOo | FireAshe (vilson5285) - Microfone mutado, Audio desmutado
48. 🍭 Wipe | Confusion (frostezinho) - Microfone mutado, Audio desmutado
49. 👑 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
50. 👼 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
51. 👼 Lemrok | Kormel (_kormel) - Microfone mutado, Audio desmutado
52. 👼 Malenia | Mitsuri (mitsurixz) - Microfone desmutado, Audio desmutado
53. 👼 Mana_Campbell | Kyzuna_Sa… (neah.campbell) - Microfone mutado, Audio desmutado
54. 👼 Meriove (meriove) - Microfone mutado, Audio desmutado
55. 👼 Ninon (lala.anya) - Microfone mutado, Audio desmutado
56. 👼 Toushiro | Liliane (lilly_x) - Microfone mutado, Audio desmutado
57. 👼 Ziccon (ziccon) - Microfone desmutado, Audio desmutado
58. 👼Skito (srmuskito) - Microfone mutado, Audio desmutado
59. 👼Soaria (sams_z) - Microfone desmutado, Audio desmutado
