Lista: GvG 20/01
Canal: 💣 | GvG
Responsável: 🧑🎄 LagSwitch | Manifest - (marsecolor)

1. Heaven (in_heaven) - Microfone desmutado, Audio desmutado
2. 🍬 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
3. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone mutado, Audio desmutado
4. 🍭 AquaHoshino | Xiaoying (_vanyar) - Microfone desmutado, Audio desmutado
5. 🍭 Asuna | Arysh (arysh) - Microfone mutado, Audio desmutado
6. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone desmutado, Audio desmutado
7. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
8. 🍭 Batkillua | Batkillua (batkillua) - Microfone desmutado, Audio desmutado
9. 🍭 ChrimSoNs | DrakaniaHealeR (chrimsonschrim) - Microfone desmutado, Audio desmutado
10. 🍭 DRKGOD | FafnirDmK (drkgodk) - Microfone desmutado, Audio desmutado
11. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
12. 🍭 EverAway | WhimeIash (emizao) - Microfone mutado, Audio desmutado
13. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
14. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
15. 🍭 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
16. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone desmutado, Audio desmutado
17. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
18. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
19. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
20. 🍭 Killzone | Monkeyflip (kekww0946) - Microfone mutado, Audio desmutado
21. 🍭 Konter | KINGKONTER (.konter) - Microfone mutado, Audio desmutado
22. 🍭 Kyuuuh | Kyrsar (kyuuuh.) - Microfone mutado, Audio desmutado
23. 🍭 LeestaTT | Lestreta (lestatt_) - Microfone mutado, Audio desmutado
24. 🍭 Lord | Awakening (lord._.) - Microfone desmutado, Audio desmutado
25. 🍭 Luffy | Davi (d.a.v.i.) - Microfone mutado, Audio desmutado
26. 🍭 Magyo | Magyogyogyo (magyo) - Microfone desmutado, Audio desmutado
27. 🍭 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
28. 🍭 MichelKings | MiichellKings (michel5356) - Microfone desmutado, Audio desmutado
29. 🍭 MikaMika | TOPCHEATER (mikamika) - Microfone desmutado, Audio desmutado
30. 🍭 MormaS | MormaS (eomormas) - Microfone desmutado, Audio desmutado
31. 🍭 Neph | MemoryX (nephzada) - Microfone mutado, Audio desmutado
32. 🍭 Newwz | Duzikk (feliipee.) - Microfone mutado, Audio desmutado
33. 🍭 NtPelu | ShaiPocket (peludinho) - Microfone desmutado, Audio desmutado
34. 🍭 NullPointter | MACACOPOINTTER (nullpointter) - Microfone mutado, Audio desmutado
35. 🍭 OverBlow | Klask (overblow) - Microfone mutado, Audio desmutado
36. 🍭 Pendorch0 | HydroH115 (pendorcho) - Microfone mutado, Audio desmutado
37. 🍭 Rabbit | RabbitDOSA (rrabbit_) - Microfone mutado, Audio desmutado
38. 🍭 Santox | AnjoYdaYvida (anjoydayvida) - Microfone mutado, Audio desmutado
39. 🍭 Shai | Artini (kapi.tan) - Microfone mutado, Audio desmutado
40. 🍭 Sipher | Siphern (.sipher) - Microfone mutado, Audio desmutado
41. 🍭 Styvel | WaterHashira (styvel) - Microfone mutado, Audio desmutado
42. 🍭 Tarshizu | Tarcisio (tarcisio2758) - Microfone mutado, Audio desmutado
43. 🍭 Valkrieg | FenixGda (fenixgda) - Microfone mutado, Audio desmutado
44. 🍭 VirSaOo | FireAshe (vilson5285) - Microfone mutado, Audio desmutado
45. 👑 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
46. 👼 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
47. 👼 Lemrok | Kormel (_kormel) - Microfone mutado, Audio desmutado
48. 👼 Malenia | Mitsuri (mitsurixz) - Microfone desmutado, Audio desmutado
49. 👼 Mana_Campbell | Kyzuna_Sa… (neah.campbell) - Microfone mutado, Audio desmutado
50. 👼 Meriove (meriove) - Microfone mutado, Audio desmutado
51. 👼 Ninon (lala.anya) - Microfone mutado, Audio desmutado
52. 👼 RadiX (.radixx.) - Microfone desmutado, Audio desmutado
53. 👼 Toushiro | Liliane (lilly_x) - Microfone mutado, Audio desmutado
54. 👼 Vnbz | Bunnit (seaside2) - Microfone mutado, Audio desmutado
55. 👼 Ziccon (ziccon) - Microfone desmutado, Audio desmutado
56. 👼Skito (srmuskito) - Microfone desmutado, Audio desmutado
57. 👼Soaria (sams_z) - Microfone desmutado, Audio desmutado
