Lista: GvG 20/01
Canal: 💣 | GvG
Responsável: 🧑🎄 LagSwitch | Manifest - (marsecolor)

1. Heaven (in_heaven) - Microfone desmutado, Audio desmutado
2. 🍬 Commander | Commander (commander1919) - Microfone mutado, Audio desmutado
3. 🍭 AloneInTheDarKK | AsahiMizuno (aloneinthedarkk) - Microfone mutado, Audio desmutado
4. 🍭 AquaHoshino | Xiaoying (_vanyar) - Microfone desmutado, Audio desmutado
5. 🍭 Asuna | Arysh (arysh) - Microfone mutado, Audio desmutado
6. 🍭 BARAK44 | XianXingXong (b4r4k44) - Microfone desmutado, Audio desmutado
7. 🍭 Bandaid | Mari (mari.s2) - Microfone mutado, Audio desmutado
8. 🍭 Batkillua | Batkillua (batkillua) - Microfone desmutado, Audio desmutado
9. 🍭 ChrimSoNs | DrakaniaHealeR (chrimsonschrim) - Microfone desmutado, Audio desmutado
10. 🍭 DRKGOD | FafnirDmK (drkgodk) - Microfone mutado, Audio desmutado
11. 🍭 Demonike | RianXz (rianxz) - Microfone mutado, Audio desmutado
12. 🍭 EverAway | WhimeIash (emizao) - Microfone mutado, Audio desmutado
13. 🍭 Fuscao | SinPrideEscanor (.fuscao) - Microfone mutado, Audio desmutado
14. 🍭 GenGen | Genanatwob (gen0382) - Microfone mutado, Audio desmutado
15. 🍭 GhostFarmer | ShamGhost (ghostfarmer) - Microfone mutado, Audio desmutado
16. 🍭 GiZ | AquaBelle (giz7922) - Microfone mutado, Audio desmutado
17. 🍭 HalkenZ | AldebaranDiTouro (ed.9780) - Microfone mutado, Audio desmutado
18. 🍭 Hiei | DeviiW (devii) - Microfone mutado, Audio desmutado
19. 🍭 Indieage | Dragonetto (indieage) - Microfone mutado, Audio desmutado
20. 🍭 Inori | Porcelzinha (iinori_) - Microfone mutado, Audio desmutado
21. 🍭 Killzone | Monkeyflip (kekww0946) - Microfone mutado, Audio desmutado
22. 🍭 Knowles | Anything (knowles_) - Microfone mutado, Audio desmutado
23. 🍭 Konter | KINGKONTER (.konter) - Microfone desmutado, Audio desmutado
24. 🍭 Kyuuuh | Kyrsar (kyuuuh.) - Microfone mutado, Audio desmutado
25. 🍭 LeestaTT | Lestreta (lestatt_) - Microfone mutado, Audio desmutado
26. 🍭 Lord | Awakening (lord._.) - Microfone desmutado, Audio desmutado
27. 🍭 Luffy | Davi (d.a.v.i.) - Microfone mutado, Audio desmutado
28. 🍭 Magyo | Magyogyogyo (magyo) - Microfone desmutado, Audio desmutado
29. 🍭 Mekysor | Sunaga (mekysor) - Microfone mutado, Audio desmutado
30. 🍭 MichelKings | MiichellKings (michel5356) - Microfone desmutado, Audio desmutado
31. 🍭 MikaMika | TOPCHEATER (mikamika) - Microfone desmutado, Audio desmutado
32. 🍭 MormaS | MormaS (eomormas) - Microfone desmutado, Audio desmutado
33. 🍭 Neph | MemoryX (nephzada) - Microfone mutado, Audio desmutado
34. 🍭 Newwz | Duzikk (feliipee.) - Microfone mutado, Audio desmutado
35. 🍭 Not_causa | ameame (infinity1996) - Microfone mutado, Audio desmutado
36. 🍭 NtPelu | ShaiPocket (peludinho) - Microfone desmutado, Audio desmutado
37. 🍭 NullPointter | MACACOPOINTTER (nullpointter) - Microfone mutado, Audio desmutado
38. 🍭 OverBlow | Klask (overblow) - Microfone mutado, Audio desmutado
39. 🍭 OxiTo | MrToxiTo (oxito) - Microfone mutado, Audio desmutado
40. 🍭 Pendorch0 | HydroH115 (pendorcho) - Microfone mutado, Audio desmutado
41. 🍭 Rabbit | RabbitDOSA (rrabbit_) - Microfone mutado, Audio desmutado
42. 🍭 Santox | AnjoYdaYvida (anjoydayvida) - Microfone mutado, Audio desmutado
43. 🍭 Scribblenauts | YUwUY (scribblenauts) - Microfone desmutado, Audio desmutado
44. 🍭 Shai | Artini (kapi.tan) - Microfone mutado, Audio desmutado
45. 🍭 Sipher | Siphern (.sipher) - Microfone mutado, Audio desmutado
46. 🍭 Styvel | WaterHashira (styvel) - Microfone mutado, Audio desmutado
47. 🍭 Tarshizu | Tarcisio (tarcisio2758) - Microfone mutado, Audio desmutado
48. 🍭 Valkrieg | FenixGda (fenixgda) - Microfone mutado, Audio desmutado
49. 🍭 VirSaOo | FireAshe (vilson5285) - Microfone mutado, Audio desmutado
50. 👑 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
51. 👼 Angellus | Eiko_Chan (.angelluss) - Microfone mutado, Audio desmutado
52. 👼 Lemrok | Kormel (_kormel) - Microfone mutado, Audio desmutado
53. 👼 Malenia | Mitsuri (mitsurixz) - Microfone desmutado, Audio desmutado
54. 👼 Mana_Campbell | Kyzuna_Sa… (neah.campbell) - Microfone mutado, Audio desmutado
55. 👼 Meriove (meriove) - Microfone mutado, Audio desmutado
56. 👼 Ninon (lala.anya) - Microfone mutado, Audio desmutado
57. 👼 RadiX (.radixx.) - Microfone desmutado, Audio desmutado
58. 👼 Toushiro | Liliane (lilly_x) - Microfone mutado, Audio desmutado
59. 👼 Vnbz | Bunnit (seaside2) - Microfone mutado, Audio mutado
60. 👼 Ziccon (ziccon) - Microfone desmutado, Audio desmutado
61. 👼Skito (srmuskito) - Microfone desmutado, Audio desmutado
62. 👼Soaria (sams_z) - Microfone desmutado, Audio desmutado
